"","A","B","C","loss","t_c","m","omega","phi"
"168",10,-0.9,0.03,32.6520306898732,1997.60113063507,0.195377440750599,8.04158159225093,1.03504097625503
"169",10,-0.9,0.05,32.7665410836501,1997.60191874569,0.231136356356243,9.29612864833325,0.866884041420868
"170",10,-0.9,0.04,32.8526633354949,1997.60797380026,0.229998178035021,6.60894122386041,5.02677682479176
"171",9.7,-0.6,0.04,33.3097846723279,1997.60388739677,0.313040710768352,7.20900959412878,4.47647389941844
"172",9.7,-0.6,0.02,33.3649644762531,1997.602269603,0.284502717666328,7.60437365528196,4.44649787142893
"173",9.7,-0.6,0.01,33.6666095637972,1997.60302929385,0.297645214945078,10.1945438551484,1.63748613408734
"174",9.7,-0.6,0.03,34.2071278003865,1997.60046696607,0.244571060842524,7.04004385450389,2.0078783546691
"175",9.7,-0.6,0.05,34.2862092237362,1997.60718404601,0.1843186724931,6.33184454147704,3.65014598675931
"176",10,-0.1,0.05,34.5038844608835,2001.48313222413,0.843441415329774,8.55134884275807,4.91360848311227
"177",10,-0.1,0.03,37.627090062405,2001.13078486367,0.885378021808962,6.66826245654374,1.66952117367914
"178",10,-0.1,0.02,37.6387246636437,2001.31070658012,0.8896985996825,6.16821521248979,0.923043859956064
"179",10,-0.1,0.04,38.2741452251897,2001.41768978092,0.865845894285788,8.0308947203448,3.57238851906391
"180",9.775,-0.7,0.04,40.3002923083814,1997.60278997514,0.23733948674053,12.7173618714248,2.79218469110186
"181",9.775,-0.7,0.03,40.4418338490534,1997.60233537223,0.254939490898202,8.99596055220657,0.924893101784409
"182",9.775,-0.7,0.02,40.4843846195585,1997.6055621642,0.234813466730217,8.40657945586524,5.83240064938156
"183",9.775,-0.7,0.05,40.943908787799,1997.60457806435,0.299833609598378,7.88262817989259,5.45584978848105
"184",9.775,-0.7,0.01,42.1566655470717,1997.62248852684,0.236136461266627,12.0968674887748,4.95275143812966
"185",10,-0.1,0.01,44.5242024305155,2001.3508331202,0.896733992764105,6.23270587669685,0.902388673580834
"186",9.85,-0.8,0.03,47.4231690721732,1997.60841966737,0.203778290313979,6.44529036230718,3.76339731904997
"187",9.85,-0.8,0.04,47.854667998463,1997.60185170087,0.22207057736814,10.4599133468776,2.6651104206989
"188",9.85,-0.8,0.05,48.1475346325975,1997.6071472836,0.213000026065856,10.9317106423356,1.99652298606861
"189",9.85,-0.8,0.01,48.2752027839695,1997.60209353678,0.18437343860666,12.9832633672049,5.61499068580296
